review_id,example_id,direction,source_language,target_language,source_dataset,source_config,source_split,source_record_id,original_source_text,original_reference_text,reference_translation,candidate_translation,internal_quality_bucket,candidate_generation_method,dataset_version
MR-011,TASKA-ZHEN-001,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17900552,"I knew nothing about life, or about myself... until you came along.",在你出现之前 我对生命 和自己一无所知,"I knew nothing about life, or about myself... until you came along.",I knew nothing about... until you came along.,low,substantial_contiguous_content_omission,v1.0
MR-012,TASKA-ZHEN-029,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16605893,The microwave doesn't work. What a night. What are the odds?,微波炉坏了 今晚真糟糕 怎么全赶上了？,The microwave doesn't work. What a night. What are the odds?,The microwave doesn't work. What a night. What are the odds,medium,minor_terminal_punctuation_omission,v1.0
MR-013,TASKA-ZHEN-064,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17490283,♪ Leaving Queens There's no way I'll let him ♪,我们要离开皇后区 我绝不允许他,♪ Leaving Queens There's no way I'll let him ♪,♪ Leaving Queens There's no way I'll let him ♪,high,reference_preserved_no_intentional_error,v1.0
MR-014,TASKA-ENZH-002,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19242688,But to send these kids to a good school or let them do extracurricular activities...,但我想让他们 去上好一点的学校 学习更多的才艺,但我想让他们 去上好一点的学校 学习更多的才艺,但我想让他们 去上好一点学校 学习更多的才艺,medium,minor_function_character_omission,v1.0
MR-015,TASKA-ZHEN-059,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,12726406,In the rules if the video is more than 30 minutes the prize and reward will be doubled for winners.,参赛细则里 视频长度超过半小时 夺冠后经验等奖励翻倍,In the rules if the video is more than 30 minutes the prize and reward will be doubled for winners.,In the rules if the video is more than 30 minutes the prize and reward will be doubled for winners,medium,minor_terminal_punctuation_omission,v1.0
MR-016,TASKA-ZHEN-058,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10161377,"Hey, hey, I thought I was paying you extra not to stop at the reds.",我记得说过要多付你钱 遇到红灯不要停,"Hey, hey, I thought I was paying you extra not to stop at the reds.",我记得说过要多付你钱 遇到红灯不要停,very_low,wrong_language_source_copy,v1.0
MR-017,TASKA-ZHEN-041,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8343522,I wish House still came over to play.,我希望豪斯再来玩,I wish House still came over to play.,I wish House still came over to play.,high,reference_preserved_no_intentional_error,v1.0
MR-018,TASKA-ENZH-037,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,7416963,"Next time you boys come through Rocky Branch,",下次你们这些小子再来这,下次你们这些小子再来这,下次你们这些小子再来这,high,reference_preserved_no_intentional_error,v1.0
MR-019,TASKA-ZHEN-038,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15705148,"It's just so hard to talk about it, because... you're just different.",只是因为很难启齿 因为... 你不一样,"It's just so hard to talk about it, because... you're just different.","It's just so hard, because... you're just different.",low,substantial_contiguous_content_omission,v1.0
MR-020,TASKA-ENZH-023,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,7236172,"Oh, yeah. Who's bad? That's right.",谁凶狠啊，这才对,谁凶狠啊，这才对,谁凶，这才对,low,substantial_contiguous_content_omission,v1.0
MR-021,TASKA-ZHEN-054,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17581265,Help me. I'm about to die!,救我 我要死了！,Help me. I'm about to die!,Help me. I'm about to die!,high,reference_preserved_no_intentional_error,v1.0
MR-022,TASKA-ZHEN-076,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1064845,They keep her until the insurance runs out.,他们让她直到保险，耗尽。,They keep her until the insurance runs out.,They keep her until the insurance runs out,medium,minor_terminal_punctuation_omission,v1.0
MR-023,TASKA-ENZH-090,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11102537,Yes. Covered in all these...,摆满了这些...,摆满了这些...,摆满,very_low,severe_translation_omission,v1.0
MR-024,TASKA-ENZH-085,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5284999,My department head said I've gone crazy.,你要是像平时那样把事情搞砸的话,你要是像平时那样把事情搞砸的话,你要是像平时那样把事情搞砸的话,high,reference_preserved_no_intentional_error,v1.0
MR-025,TASKA-ENZH-040,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10348934,Gabrielle has the gift.,加布里埃尔有礼物。,加布里埃尔有礼物。,加布里有礼物。,low,substantial_contiguous_content_omission,v1.0
MR-026,TASKA-ZHEN-011,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16698941,A pit bull locks their jaw when they get a hold of something?,当比特犬咬住什么东西时 下颌会锁死吧？,A pit bull locks their jaw when they get a hold of something?,A pit bull locks their jaw when they get a hold of something,medium,minor_terminal_punctuation_omission,v1.0
MR-027,TASKA-ENZH-074,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16045122,So they got it from some professor.,所以去跟一个那个什么教授拿来的,所以去跟一个那个什么教授拿来的,所以去跟一个那个什么教授拿来的,high,reference_preserved_no_intentional_error,v1.0
MR-028,TASKA-ZHEN-025,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10487382,The nine incense sticks he left behind.,他留下的九柱香,The nine incense sticks he left behind.,The nine he left behind.,low,substantial_contiguous_content_omission,v1.0
MR-029,TASKA-ENZH-056,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,18158433,"Besides, if I had refused, Matthias would be defeated by the enemy.",况且 如果拒绝你们的要求就会与马蒂亚斯为敌,况且 如果拒绝你们的要求就会与马蒂亚斯为敌,"Besides, if I had refused, Matthias would be defeated by the enemy.",very_low,wrong_language_source_copy,v1.0
MR-030,TASKA-ZHEN-034,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13802230,"I was in New York, back and forth, going, 'cause I still had a lot of my stuff out there.",我当时住在纽约 两边来回跑 因为我还有很多东西在那里,"I was in New York, back and forth, going, 'cause I still had a lot of my stuff out there.","I was in New York, back and forth, going, 'cause I still had a lot of my stuff out there.",high,reference_preserved_no_intentional_error,v1.0
MR-031,TASKA-ENZH-051,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3896356,"Yes, I do understand, senator.",我懂，参议员,我懂，参议员,我议员,low,substantial_contiguous_content_omission,v1.0
MR-032,TASKA-ENZH-011,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8085572,"Oh, my God, what did they get?",我的天啊 都偷走了什么,我的天啊 都偷走了什么,我的天走了什么,low,substantial_contiguous_content_omission,v1.0
MR-033,TASKA-ZHEN-036,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,561236,"Go, all of you.",其他人也帮忙去,"Go, all of you.",Go all of you.,medium,minor_punctuation_omission,v1.0
MR-034,TASKA-ENZH-006,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15602414,- I'm not here for your sympathy.,我来这里不是为了你的同情,我来这里不是为了你的同情,我来这里,very_low,severe_translation_omission,v1.0
MR-035,TASKA-ENZH-065,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8567342,But only 6 vampires left.,但只有6个吸血鬼留下来,但只有6个吸血鬼留下来,但只有6个吸血鬼留来,medium,minor_single_character_omission,v1.0
MR-036,TASKA-ZHEN-082,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10288560,You should know that.,你應該也知道吧,You should know that.,You should know that.,high,reference_preserved_no_intentional_error,v1.0
MR-037,TASKA-ZHEN-007,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8312899,"I'm sure you know how pleased I am that you will recover, after all.",得知你有望痊愈 我心里这高兴劲儿不说你也知道,"I'm sure you know how pleased I am that you will recover, after all.","I'm sure you know how you will recover, after all.",low,substantial_contiguous_content_omission,v1.0
MR-038,TASKA-ZHEN-028,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6704177,"How about, uh, we play some poker?",怎么样？ 嗯？ 打牌怎么样？,"How about, uh, we play some poker?",How about,very_low,severe_translation_omission,v1.0
MR-039,TASKA-ENZH-003,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13856641,Then things like this may happen every day.,说不定每天都会发生这种事,说不定每天都会发生这种事,说不定每天都会发生这事,medium,minor_single_character_omission,v1.0
MR-040,TASKA-ENZH-025,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,18941201,I got to set her straight?,我要跟她说她错了吗？,我要跟她说她错了吗？,我要跟她说她错了吗？,high,reference_preserved_no_intentional_error,v1.0
MR-041,TASKA-ENZH-008,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,9684164,- Then what? What do you want?,所以，你想要什么？,所以，你想要什么？,所以，你想要什么？,high,reference_preserved_no_intentional_error,v1.0
MR-042,TASKA-ZHEN-098,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13868092,Do you not think that's a little irresponsible to counsel others when you have not taken your meds?,出门前我关炉子了 对吧 绝对关了,Do you not think that's a little irresponsible to counsel others when you have not taken your meds?,Do you not think that's a little irresponsible to counsel others when you have not taken your meds?,high,reference_preserved_no_intentional_error,v1.0
MR-043,TASKA-ZHEN-037,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,575210,- Where did you learn them? - From my betters.,你从哪里学到的 从比我好的人那里学到的,- Where did you learn them? - From my betters.,- Where did you? - From my betters.,low,substantial_contiguous_content_omission,v1.0
MR-044,TASKA-ENZH-069,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17125355,Are you trying to destroy their car?,怎么？ 你要砸了这台车吗？,怎么？ 你要砸了这台车吗？,怎么？ 你要,very_low,severe_translation_omission,v1.0
MR-045,TASKA-ENZH-061,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17748304,I was wondering if I should've worn something a little more cheerful.,还在想要不要穿点 不这么沉闷的,还在想要不要穿点 不这么沉闷的,还在想要不这么沉闷的,low,substantial_contiguous_content_omission,v1.0
MR-046,TASKA-ZHEN-019,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4620281,I shot at a duck and... Mmm-hmm.,我只是朝野鸭开枪 然后...,I shot at a duck and... Mmm-hmm.,I shot at a duck and... Mmm-hmm.,high,reference_preserved_no_intentional_error,v1.0
MR-047,TASKA-ZHEN-044,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,12655657,She's probably there now.,恐怕 现今就在那里,She's probably there now.,She's probably now.,low,meaningful_content_word_omission,v1.0
MR-048,TASKA-ENZH-028,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1333508,"- Doctor, tell us how he is.",告诉我们情况如何？,告诉我们情况如何？,告诉我们情况如何？,high,reference_preserved_no_intentional_error,v1.0
MR-049,TASKA-ENZH-042,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1479306,That's why I have to take a trip to New York.,因此我必须得去趟纽约,因此我必须得去趟纽约,因此我必,very_low,severe_translation_omission,v1.0
MR-050,TASKA-ENZH-060,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15972080,"Can you help me, sir?",可以帮我吗？ 长官,可以帮我吗？ 长官,可以吗？ 长官,low,substantial_contiguous_content_omission,v1.0
MR-051,TASKA-ENZH-072,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8027759,I'm sure you'll come up with some plan.,我想你们肯定会想出点主意,我想你们肯定会想出点主意,我想你们肯定会想出点主意,high,reference_preserved_no_intentional_error,v1.0
MR-052,TASKA-ENZH-071,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16316544,- I don't even know if it's possible.,–能不能完成還...,–能不能完成還...,–能不成還...,low,substantial_contiguous_content_omission,v1.0
MR-053,TASKA-ENZH-045,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1251521,That's not an illness.,作為一個有經驗的醫生，請您相信我,作為一個有經驗的醫生，請您相信我,作為一個有經驗的醫生，請您相信我,high,reference_preserved_no_intentional_error,v1.0
MR-054,TASKA-ENZH-052,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1326995,You should leave it. You won't need it there.,不得不放在这里，在那里你不需要它,不得不放在这里，在那里你不需要它,不得不放在这里在那里你不需要它,medium,minor_punctuation_omission,v1.0
MR-055,TASKA-ENZH-013,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19262398,Why leave it just as an imagination?,为什么只是想象？,为什么只是想象？,为什是想象？,low,substantial_contiguous_content_omission,v1.0
MR-056,TASKA-ENZH-020,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6097814,The fact that it did happen doesn't change anything.,事情已经发生了 这是无法改变的事实,事情已经发生了 这是无法改变的事实,事情已经发生了 这是无法改变事实,medium,minor_function_character_omission,v1.0
MR-057,TASKA-ENZH-004,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3248460,"Saying you are friends, when in reality you don't trust them.",有些人表面上好像很好 但其实根本不相信对方,有些人表面上好像很好 但其实根本不相信对方,有些人表面上好,very_low,severe_translation_omission,v1.0
MR-058,TASKA-ZHEN-083,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11657658,"Oh, my God, have you been there this whole time?",我的上帝 你一直都在那里？,"Oh, my God, have you been there this whole time?",我的上帝 你一直都在那里？,very_low,wrong_language_source_copy,v1.0
MR-059,TASKA-ZHEN-018,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,890399,-#It's the good life# -#It's the good life#,-「美好生活」 -「美好生活」,-#It's the good life# -#It's the good life#,-「美好生活」 -「美好生活」,very_low,wrong_language_source_copy,v1.0
MR-060,TASKA-ZHEN-015,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16588545,You don't know what sorry is. Not yet.,你不知道什么是抱歉 目前还不知道,You don't know what sorry is. Not yet.,You don't know what sorry is. Not yet,medium,minor_terminal_punctuation_omission,v1.0
MR-061,TASKA-ENZH-062,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6089765,- He's not my guy.,-不是我的人,-不是我的人,-不是我人,medium,minor_function_character_omission,v1.0
MR-062,TASKA-ENZH-081,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13866287,Is it in the mansion?,是在宅子里吗？,是在宅子里吗？,是在里吗？,low,substantial_contiguous_content_omission,v1.0
MR-063,TASKA-ENZH-039,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5358631,The snakes are on the plane because...,飞机上有蛇是因为,飞机上有蛇是因为,飞机上有蛇是因为,high,reference_preserved_no_intentional_error,v1.0
MR-064,TASKA-ENZH-073,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10017871,"We'd only ""live in sin,"" as you call it, until the divorce.",在離婚之前 我們才是生活在罪惡中,在離婚之前 我們才是生活在罪惡中,在離婚之前 我們才是生活在罪中,medium,minor_single_character_omission,v1.0
MR-065,TASKA-ZHEN-006,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17994763,The wind was strong last night.,昨天晚上风够大的,The wind was strong last night.,The wind last night.,low,substantial_contiguous_content_omission,v1.0
MR-066,TASKA-ENZH-038,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4696228,"Please give your warmest welcome, the one-of-a-kind...",让我们热烈欢迎与众不同的...,让我们热烈欢迎与众不同的...,让我们热众不同的...,low,substantial_contiguous_content_omission,v1.0
MR-067,TASKA-ENZH-089,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5091113,Pull that chair down.,把椅子拿下来,把椅子拿下来,把椅子拿来,medium,minor_single_character_omission,v1.0
MR-068,TASKA-ZHEN-081,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4633279,I had a man when I went to work today.,我可是有男朋友的人,I had a man when I went to work today.,I had a went to work today.,low,substantial_contiguous_content_omission,v1.0
MR-069,TASKA-ZHEN-043,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6200228,Too bad. That osso buco of yours was-- really something.,太遗憾了 你做的炖小牛肘太牛了,Too bad. That osso buco of yours was-- really something.,Too bad. That osso buco of yours was-- really something.,high,reference_preserved_no_intentional_error,v1.0
MR-070,TASKA-ENZH-087,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6410789,"People disappear all the time, but they're never really gone.",人们 时不时都会消失 但其实并非真的不见了,人们 时不时都会消失 但其实并非真的不见了,人们 时不时都会消失 但其实并非真的不见了,high,reference_preserved_no_intentional_error,v1.0
MR-071,TASKA-ENZH-068,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,7029889,"- Hey, can I get a hand with this?",- 嘿，可以帮我一下吗？,- 嘿，可以帮我一下吗？,"- Hey, can I get a hand with this?",very_low,wrong_language_source_copy,v1.0
MR-072,TASKA-ENZH-017,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8215552,-Why did they put it on a frying pan?,-为什么不放在炒锅上?,-为什么不放在炒锅上?,-为什么炒锅上?,low,substantial_contiguous_content_omission,v1.0
MR-073,TASKA-ZHEN-071,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8410559,What if I'd trodden on you?,我把你踩扁了怎么办?,What if I'd trodden on you?,我把你踩扁了怎么办?,very_low,wrong_language_source_copy,v1.0
MR-074,TASKA-ENZH-098,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5514808,"if one is going away to beat very well but, one is sticking there.","- 对. 它应该粘性很好的... ... 好,粘上了.","- 对. 它应该粘性很好的... ... 好,粘上了.",- 对. 它应该粘性很好的... ... 好粘上了.,medium,minor_punctuation_omission,v1.0
MR-075,TASKA-ZHEN-032,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15090513,No kidding. I probably saw you there.,说实话 我可能当初就见过你了,No kidding. I probably saw you there.,No kidding. saw you there.,low,substantial_contiguous_content_omission,v1.0
MR-076,TASKA-ZHEN-009,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6273331,"The less we see each other, everything gets better.",我们少见几面，关系反而更好了。,"The less we see each other, everything gets better.","The less we, everything gets better.",low,substantial_contiguous_content_omission,v1.0
MR-077,TASKA-ZHEN-080,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8876980,"He had many run-ins with cops, but always escaped.",他有许多争论与警察， 但总是逃过一劫。,"He had many run-ins with cops, but always escaped.","He had many, but always escaped.",low,substantial_contiguous_content_omission,v1.0
MR-078,TASKA-ZHEN-065,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10745245,"That's why I am here, to get a piece of paradise.",所以我来闯一闯,"That's why I am here, to get a piece of paradise.","That's why I am here, to get a piece of paradise.",high,reference_preserved_no_intentional_error,v1.0
MR-079,TASKA-ZHEN-099,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14430752,What medium do you like to work in?,你都用怎样的笔画画？,What medium do you like to work in?,What medium do you like to work in?,high,reference_preserved_no_intentional_error,v1.0
MR-080,TASKA-ENZH-083,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14319043,Fully armed Daekan warriors are headed to the Fortress of Fire.,大汗部队全副武装正往火之堡垒前进,大汗部队全副武装正往火之堡垒前进,大汗部队全副武装正往火之堡垒前进,high,reference_preserved_no_intentional_error,v1.0
MR-081,TASKA-ZHEN-070,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8909722,"ANDTHEY'DGETTOGO, ""JUST WAIT UNTIL TOMORROW. ""JUST WAIT UNTIL TOMORROW. IT'S GONNA BE AMAZING.","他们会说""明天看嘛","ANDTHEY'DGETTOGO, ""JUST WAIT UNTIL TOMORROW. ""JUST WAIT UNTIL TOMORROW. IT'S GONNA BE AMAZING.","ANDTHEY'DGETTOGO, ""JUST WAIT UNTIL TOMORROW",very_low,severe_translation_omission,v1.0
MR-082,TASKA-ENZH-080,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,38623,You are still there is an opportunity,你还是有机会的,你还是有机会的,You are still there is an opportunity,very_low,wrong_language_source_copy,v1.0
MR-083,TASKA-ZHEN-096,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,2442236,That means Fei-hung will be my nephew-in-law.,那么 飞鸿不就成我的襟第吗?,That means Fei-hung will be my nephew-in-law.,That means Fei-hung will be my nephew-in-law.,high,reference_preserved_no_intentional_error,v1.0
MR-084,TASKA-ENZH-075,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3873143,"But nothing, no words or description could have given justice to it or have prepared him for that gun's flawless grace.",但是没有条文法律可以维护公正 或许准备了为无瑕的枪祈祷,但是没有条文法律可以维护公正 或许准备了为无瑕的枪祈祷,但是没有条文法律可备了为无瑕的枪祈祷,low,substantial_contiguous_content_omission,v1.0
MR-085,TASKA-ZHEN-088,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1829589,Hurry up with the fuel!,电路修理动作快一点,Hurry up with the fuel!,Hurry up,very_low,severe_translation_omission,v1.0
MR-086,TASKA-ZHEN-017,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,2620692,"I believe you, Billy. And I believe in you.",我相信你，比利，我相信,"I believe you, Billy. And I believe in you.",I believe you Billy. And I believe in you.,medium,minor_punctuation_omission,v1.0
MR-087,TASKA-ZHEN-092,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,9980592,"No, actually, it was really boring.",不，实际上， 这是很无聊。,"No, actually, it was really boring.","No actually, it was really boring.",medium,minor_punctuation_omission,v1.0
MR-088,TASKA-ENZH-095,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16907938,I was just doing what I thought I had to do to make that happen.,我只是为了实现那个目标 在做我认为应该做的事情,我只是为了实现那个目标 在做我认为应该做的事情,我只是为了实现那个目标 在做我认为应该做的事情,high,reference_preserved_no_intentional_error,v1.0
MR-089,TASKA-ENZH-021,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4446197,"No. Have a seat. ""650,"" is that Palo Alto?","不，坐吧，""650""，那是帕洛阿图吗？","不，坐吧，""650""，那是帕洛阿图吗？","不坐吧，""650""，那是帕洛阿图吗？",medium,minor_punctuation_omission,v1.0
MR-090,TASKA-ENZH-059,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,498629,Do you like fighting grizzlies?,"""你喜欢和大熊打架吗？""","""你喜欢和大熊打架吗？""","""你喜欢打架吗？""",low,substantial_contiguous_content_omission,v1.0
MR-091,TASKA-ZHEN-005,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4276362,We weren't scheduled to meet until Wednesday.,我们要到星期三才有排定见面,We weren't scheduled to meet until Wednesday.,We weren't meet until Wednesday.,low,substantial_contiguous_content_omission,v1.0
