review_id,example_id,direction,source_text,candidate_translation,reference_translation,human_score,reviewer_comment
MR-032,TASKA-ENZH-011,en-zh,"Oh, my God, what did they get?",我的天走了什么,我的天啊 都偷走了什么,,
MR-033,TASKA-ZHEN-036,zh-en,其他人也帮忙去,Go all of you.,"Go, all of you.",,
MR-034,TASKA-ENZH-006,en-zh,- I'm not here for your sympathy.,我来这里,我来这里不是为了你的同情,,
MR-035,TASKA-ENZH-065,en-zh,But only 6 vampires left.,但只有6个吸血鬼留来,但只有6个吸血鬼留下来,,
MR-036,TASKA-ZHEN-082,zh-en,你應該也知道吧,You should know that.,You should know that.,,
MR-037,TASKA-ZHEN-007,zh-en,得知你有望痊愈 我心里这高兴劲儿不说你也知道,"I'm sure you know how you will recover, after all.","I'm sure you know how pleased I am that you will recover, after all.",,
MR-038,TASKA-ZHEN-028,zh-en,怎么样？ 嗯？ 打牌怎么样？,How about,"How about, uh, we play some poker?",,
MR-039,TASKA-ENZH-003,en-zh,Then things like this may happen every day.,说不定每天都会发生这事,说不定每天都会发生这种事,,
MR-040,TASKA-ENZH-025,en-zh,I got to set her straight?,我要跟她说她错了吗？,我要跟她说她错了吗？,,
MR-041,TASKA-ENZH-008,en-zh,- Then what? What do you want?,所以，你想要什么？,所以，你想要什么？,,
MR-042,TASKA-ZHEN-098,zh-en,出门前我关炉子了 对吧 绝对关了,Do you not think that's a little irresponsible to counsel others when you have not taken your meds?,Do you not think that's a little irresponsible to counsel others when you have not taken your meds?,,
MR-043,TASKA-ZHEN-037,zh-en,你从哪里学到的 从比我好的人那里学到的,- Where did you? - From my betters.,- Where did you learn them? - From my betters.,,
MR-044,TASKA-ENZH-069,en-zh,Are you trying to destroy their car?,怎么？ 你要,怎么？ 你要砸了这台车吗？,,
MR-045,TASKA-ENZH-061,en-zh,I was wondering if I should've worn something a little more cheerful.,还在想要不这么沉闷的,还在想要不要穿点 不这么沉闷的,,
MR-046,TASKA-ZHEN-019,zh-en,我只是朝野鸭开枪 然后...,I shot at a duck and... Mmm-hmm.,I shot at a duck and... Mmm-hmm.,,
MR-047,TASKA-ZHEN-044,zh-en,恐怕 现今就在那里,She's probably now.,She's probably there now.,,
MR-048,TASKA-ENZH-028,en-zh,"- Doctor, tell us how he is.",告诉我们情况如何？,告诉我们情况如何？,,
MR-049,TASKA-ENZH-042,en-zh,That's why I have to take a trip to New York.,因此我必,因此我必须得去趟纽约,,
MR-050,TASKA-ENZH-060,en-zh,"Can you help me, sir?",可以吗？ 长官,可以帮我吗？ 长官,,
MR-051,TASKA-ENZH-072,en-zh,I'm sure you'll come up with some plan.,我想你们肯定会想出点主意,我想你们肯定会想出点主意,,
MR-052,TASKA-ENZH-071,en-zh,- I don't even know if it's possible.,–能不成還...,–能不能完成還...,,
MR-053,TASKA-ENZH-045,en-zh,That's not an illness.,作為一個有經驗的醫生，請您相信我,作為一個有經驗的醫生，請您相信我,,
MR-054,TASKA-ENZH-052,en-zh,You should leave it. You won't need it there.,不得不放在这里在那里你不需要它,不得不放在这里，在那里你不需要它,,
MR-055,TASKA-ENZH-013,en-zh,Why leave it just as an imagination?,为什是想象？,为什么只是想象？,,
MR-056,TASKA-ENZH-020,en-zh,The fact that it did happen doesn't change anything.,事情已经发生了 这是无法改变事实,事情已经发生了 这是无法改变的事实,,
MR-057,TASKA-ENZH-004,en-zh,"Saying you are friends, when in reality you don't trust them.",有些人表面上好,有些人表面上好像很好 但其实根本不相信对方,,
MR-058,TASKA-ZHEN-083,zh-en,我的上帝 你一直都在那里？,我的上帝 你一直都在那里？,"Oh, my God, have you been there this whole time?",,
MR-059,TASKA-ZHEN-018,zh-en,-「美好生活」 -「美好生活」,-「美好生活」 -「美好生活」,-#It's the good life# -#It's the good life#,,
MR-060,TASKA-ZHEN-015,zh-en,你不知道什么是抱歉 目前还不知道,You don't know what sorry is. Not yet,You don't know what sorry is. Not yet.,,
MR-061,TASKA-ENZH-062,en-zh,- He's not my guy.,-不是我人,-不是我的人,,
MR-062,TASKA-ENZH-081,en-zh,Is it in the mansion?,是在里吗？,是在宅子里吗？,,
MR-063,TASKA-ENZH-039,en-zh,The snakes are on the plane because...,飞机上有蛇是因为,飞机上有蛇是因为,,
MR-064,TASKA-ENZH-073,en-zh,"We'd only ""live in sin,"" as you call it, until the divorce.",在離婚之前 我們才是生活在罪中,在離婚之前 我們才是生活在罪惡中,,
MR-065,TASKA-ZHEN-006,zh-en,昨天晚上风够大的,The wind last night.,The wind was strong last night.,,
MR-066,TASKA-ENZH-038,en-zh,"Please give your warmest welcome, the one-of-a-kind...",让我们热众不同的...,让我们热烈欢迎与众不同的...,,
MR-067,TASKA-ENZH-089,en-zh,Pull that chair down.,把椅子拿来,把椅子拿下来,,
MR-068,TASKA-ZHEN-081,zh-en,我可是有男朋友的人,I had a went to work today.,I had a man when I went to work today.,,
MR-069,TASKA-ZHEN-043,zh-en,太遗憾了 你做的炖小牛肘太牛了,Too bad. That osso buco of yours was-- really something.,Too bad. That osso buco of yours was-- really something.,,
MR-070,TASKA-ENZH-087,en-zh,"People disappear all the time, but they're never really gone.",人们 时不时都会消失 但其实并非真的不见了,人们 时不时都会消失 但其实并非真的不见了,,
MR-071,TASKA-ENZH-068,en-zh,"- Hey, can I get a hand with this?","- Hey, can I get a hand with this?",- 嘿，可以帮我一下吗？,,
MR-072,TASKA-ENZH-017,en-zh,-Why did they put it on a frying pan?,-为什么炒锅上?,-为什么不放在炒锅上?,,
MR-073,TASKA-ZHEN-071,zh-en,我把你踩扁了怎么办?,我把你踩扁了怎么办?,What if I'd trodden on you?,,
MR-074,TASKA-ENZH-098,en-zh,"if one is going away to beat very well but, one is sticking there.",- 对. 它应该粘性很好的... ... 好粘上了.,"- 对. 它应该粘性很好的... ... 好,粘上了.",,
MR-075,TASKA-ZHEN-032,zh-en,说实话 我可能当初就见过你了,No kidding. saw you there.,No kidding. I probably saw you there.,,
MR-076,TASKA-ZHEN-009,zh-en,我们少见几面，关系反而更好了。,"The less we, everything gets better.","The less we see each other, everything gets better.",,
MR-077,TASKA-ZHEN-080,zh-en,他有许多争论与警察， 但总是逃过一劫。,"He had many, but always escaped.","He had many run-ins with cops, but always escaped.",,
MR-078,TASKA-ZHEN-065,zh-en,所以我来闯一闯,"That's why I am here, to get a piece of paradise.","That's why I am here, to get a piece of paradise.",,
MR-079,TASKA-ZHEN-099,zh-en,你都用怎样的笔画画？,What medium do you like to work in?,What medium do you like to work in?,,
MR-080,TASKA-ENZH-083,en-zh,Fully armed Daekan warriors are headed to the Fortress of Fire.,大汗部队全副武装正往火之堡垒前进,大汗部队全副武装正往火之堡垒前进,,
MR-081,TASKA-ZHEN-070,zh-en,"他们会说""明天看嘛","ANDTHEY'DGETTOGO, ""JUST WAIT UNTIL TOMORROW","ANDTHEY'DGETTOGO, ""JUST WAIT UNTIL TOMORROW. ""JUST WAIT UNTIL TOMORROW. IT'S GONNA BE AMAZING.",,
MR-082,TASKA-ENZH-080,en-zh,You are still there is an opportunity,You are still there is an opportunity,你还是有机会的,,
MR-083,TASKA-ZHEN-096,zh-en,那么 飞鸿不就成我的襟第吗?,That means Fei-hung will be my nephew-in-law.,That means Fei-hung will be my nephew-in-law.,,
MR-084,TASKA-ENZH-075,en-zh,"But nothing, no words or description could have given justice to it or have prepared him for that gun's flawless grace.",但是没有条文法律可备了为无瑕的枪祈祷,但是没有条文法律可以维护公正 或许准备了为无瑕的枪祈祷,,
MR-085,TASKA-ZHEN-088,zh-en,电路修理动作快一点,Hurry up,Hurry up with the fuel!,,
MR-086,TASKA-ZHEN-017,zh-en,我相信你，比利，我相信,I believe you Billy. And I believe in you.,"I believe you, Billy. And I believe in you.",,
MR-087,TASKA-ZHEN-092,zh-en,不，实际上， 这是很无聊。,"No actually, it was really boring.","No, actually, it was really boring.",,
MR-088,TASKA-ENZH-095,en-zh,I was just doing what I thought I had to do to make that happen.,我只是为了实现那个目标 在做我认为应该做的事情,我只是为了实现那个目标 在做我认为应该做的事情,,
MR-089,TASKA-ENZH-021,en-zh,"No. Have a seat. ""650,"" is that Palo Alto?","不坐吧，""650""，那是帕洛阿图吗？","不，坐吧，""650""，那是帕洛阿图吗？",,
MR-090,TASKA-ENZH-059,en-zh,Do you like fighting grizzlies?,"""你喜欢打架吗？""","""你喜欢和大熊打架吗？""",,
MR-091,TASKA-ZHEN-005,zh-en,我们要到星期三才有排定见面,We weren't meet until Wednesday.,We weren't scheduled to meet until Wednesday.,,
MR-092,TASKA-ZHEN-023,zh-en,她怎么回事 她病了还是怎么了？,What happened to her? Was she sick or something,What happened to her? Was she sick or something?,,
MR-093,TASKA-ENZH-027,en-zh,Call the airline. I'll pack.,Call the airline. I'll pack.,快给航空公司打电话 我去打包行李,,
MR-094,TASKA-ENZH-046,en-zh,I've been looking for decoration to put up on the glass so people wouldn't walk into it.,我一直想在玻璃上贴些花样 免得人们老是一头上,我一直想在玻璃上贴些花样 免得人们老是一头撞上,,
MR-095,TASKA-ENZH-001,en-zh,"- You wanted to see me, right?","- You wanted to see me, right?",你有事找我 是的,,
MR-096,TASKA-ENZH-088,en-zh,-What are you talking about?,说什么呢,说什么呢？,,
MR-097,TASKA-ZHEN-063,zh-en,大家都替你加油！,We're all behind you,We're all behind you!,,
MR-098,TASKA-ZHEN-100,zh-en,被曝光女儿涉嫌校园暴力行为的李顺钢议员 (因子女涉嫌校园暴力 李顺钢议员辞任),"Assemblyman Lee Soon Gang, whose daughter was a school bully, stepped down from his position.","Assemblyman Lee Soon Gang, whose daughter was a school bully, stepped down from his position.",,
MR-099,TASKA-ENZH-093,en-zh,We should tell all the members that they have been in contact with him.,我们得告诉所能和他们有关系,我们得告诉所有成员 他可能和他们有关系,,
MR-100,TASKA-ZHEN-031,zh-en,你要让他逃走右拳攻击身体！,Don't let him go. Right to the body!,Don't let him go. Right to the body!,,
MR-101,TASKA-ENZH-043,en-zh,"-I was so hungry, I was about to go crazy.","-I was so hungry, I was about to go crazy.",我真的差点要饿死了,,
MR-102,TASKA-ENZH-076,en-zh,"Paul, what you gonna do? Shoot me, too?",玂霉 璶ри炳,玂霉 璶ри炳,,
MR-103,TASKA-ENZH-100,en-zh,How is she better than me?,How is she better than me?,她比我好在哪里？,,
MR-104,TASKA-ENZH-070,en-zh,And so then I ran to the fo'c's'le.,然后我跑到了前甲板,然后我跑到了前甲板,,
MR-105,TASKA-ENZH-055,en-zh,"After the transplant, you could see, but not see.",角膜移植之后 你可以看见 但不是真正看见,角膜移植之后 你可以看见 但不是真正看见,,
MR-106,TASKA-ZHEN-042,zh-en,那你就得对他提起诉讼,Then you have to file a case on him,Then you have to file a case on him.,,
MR-107,TASKA-ZHEN-057,zh-en,此剧就此分派完成,And I hope we have a play well fitted,And I hope we have a play well fitted.,,
MR-108,TASKA-ENZH-099,en-zh,What a nice spring.,这个温泉好棒哦,这个温泉好棒哦,,
MR-109,TASKA-ENZH-057,en-zh,Andyou'relike still so beautiful.,和你一样 还是那么漂亮。,和你一样 还是那么漂亮。,,
MR-110,TASKA-ZHEN-087,zh-en,有人走进来 你的工作很简单 你的工作是什么？,People walk in your job is simple. What is your job?,"People walk in, your job is simple. What is your job?",,
MR-111,TASKA-ZHEN-091,zh-en,- 我就知道你会杀了她！,- I knew,- I knew you'd kill her! - Calm down.,,
MR-112,TASKA-ENZH-022,en-zh,Seo Jeong-hwa left home at 2 p.m.,Seo Jeong-hwa left home at 2 p.m.,徐贞和在下午2点离开家里,,
MR-113,TASKA-ENZH-012,en-zh,"I was in Rome... working for KGB when I was abducted with force by Americans, agents of Central Intelligence Agency.",我是在羅的克格勃... ......,我是在羅馬... 工作的克格勃... ......,,
MR-114,TASKA-ZHEN-013,zh-en,哦，他是很有花样， 但他干嘛把钱白白给别人,"- Oh, yes? You listen! like he make you believe.","- Oh, yes? You listen! Tony no love you like he make you believe.",,
MR-115,TASKA-ZHEN-053,zh-en,以为我白痴吗？,以为我白痴吗？,He's losing it. Or an idiot?,,
MR-116,TASKA-ENZH-050,en-zh,Guy tries to take advantage.,男孩她便宜,男孩要占她便宜,,
MR-117,TASKA-ZHEN-056,zh-en,我不能那样做，你知道的。,I can't,"I can't do that, you know.",,
MR-118,TASKA-ZHEN-048,zh-en,就像牵了一只狗一样,就像牵了一只狗一样,It's like having a dog on a leash.,,
MR-119,TASKA-ENZH-007,en-zh,"The eye closest to the, to the.",眼最接近向。,眼最接近，向。,,
MR-120,TASKA-ZHEN-035,zh-en,艾莉森，我告诉过你。,"Allison, I you.","Allison, I told you.",,
MR-121,TASKA-ZHEN-079,zh-en,我们最终的目的地早被我抛到了脑后,In the back was our eventual destination.,In the back of my mind was our eventual destination.,,
MR-122,TASKA-ENZH-058,en-zh,I really don't want to mess that one up.,我可不希望把那个搞砸,我可不希望把那个搞砸,,
MR-123,TASKA-ENZH-092,en-zh,"Hands can parade around naked all day, but God forbid you show a few toes?",手就可以整天露,手就可以整天露在外面 但是却不能露几个脚趾？,,
MR-124,TASKA-ZHEN-021,zh-en,我们在车上才这样穿，知道吗?,"By the way put it on inside the train, okay?","By the way, put it on inside the train, okay?",,
MR-125,TASKA-ZHEN-086,zh-en,大耳，太好了，找到媽媽了,Ululu it's your mom. Isn't that great?,"Ululu, it's your mom. Isn't that great?",,
MR-126,TASKA-ZHEN-052,zh-en,"我并不想失去他, 女马女马会告诉儡尔日刨",I didn't want,I didn't want to lose it. Mommy knows that.,,
MR-127,TASKA-ENZH-016,en-zh,We have to stand still.,我们持不动,我们要保持不动,,
MR-128,TASKA-ZHEN-085,zh-en,"我也想要你这份工作,汤米.","I want this job of yours, Tommy.","I want this job of yours, Tommy.",,
MR-129,TASKA-ENZH-035,en-zh,Why did you come with us?,你为跟过来,你为什么跟过来,,
MR-130,TASKA-ZHEN-095,zh-en,你也知道最近的年轻人生活不容易,Life is tough for young people these days.,Life is tough for young people these days.,,
MR-131,TASKA-ENZH-015,en-zh,"Yeah, that is true.",对 我喜欢晚上泳,对 我喜欢晚上游泳,,
MR-132,TASKA-ZHEN-094,zh-en,从朝鲜回国的途中在那里停留了几天,ME AND A FEW OF THE GUYS,ME AND A FEW OF THE GUYS FROM MY UNIT HAD TO STOP OVER THERE ON THE WAY BACK FROM KOREA.,,
MR-133,TASKA-ZHEN-022,zh-en,看看那些人的脸孔你可以拯救好几百个像他们一样的人,Look at the men's,Look at the men's faces. You can save hundreds of them.,,
MR-134,TASKA-ZHEN-077,zh-en,玩什么玩？,What do,"What do you mean, go and play?",,
MR-135,TASKA-ENZH-047,en-zh,I demand that you delete the video.,我现在要求你把视频删掉,我现在要求你把视频删掉,,
MR-136,TASKA-ZHEN-012,zh-en,288)}那些長篇衛道說教的大文章,"That's good, because what I those moralizing feuilletons of yours.","That's good, because what I really can't stand is those moralizing feuilletons of yours.",,
MR-137,TASKA-ENZH-014,en-zh,You're both under arrest.,你们俩都被捕,你们俩都被捕了,,
MR-138,TASKA-ENZH-032,en-zh,"But if what you said is true about what's up there,",但如果你所说的都是真的,但如果你所说的都是真的,,
MR-139,TASKA-ZHEN-016,zh-en,-我见到马克了，,I saw Mark. - Really? How is he,I saw Mark. - Really? How is he?,,
MR-140,TASKA-ZHEN-084,zh-en,成为我的东西吧 弟弟啊,"You shall be mine, little brother.","You shall be mine, little brother.",,
MR-141,TASKA-ENZH-091,en-zh,"Katie, I gave you a job to do.","Katie, I gave you a job to do.",凯蒂，我给你 工作要做。,,
MR-142,TASKA-ZHEN-004,zh-en,这是爆发点，这是我的区域...,This is ground zero,This is ground zero. This is my site. We talked about this.,,
MR-143,TASKA-ENZH-097,en-zh,I'm not some distant aunt coming on a visit.,我不是来拜访远房阿姨 你知道,我不是来拜访的远房阿姨 你知道,,
MR-144,TASKA-ENZH-084,en-zh,You don't know which is lying.,但你不知道谁在谎,但你不知道谁在撒谎,,
MR-145,TASKA-ZHEN-072,zh-en,在古巴危机的四天里 部分商品的销量增长了十倍多,(Speaker) In the four days of up to ten times longer and sold.,(Speaker) In the four days of the Cuban Missile Crisis wereindividualarticles up to ten times longer and sold.,,
MR-146,TASKA-ZHEN-046,zh-en,我们相互理解一下吧，神父,Let's understand,"Let's understand each other, Father.",,
MR-147,TASKA-ENZH-030,en-zh,"♪ I think I remember those eyes, eyes, eyes ♪",我想我记睛，眼睛，眼睛,我想我记得 那双眼睛，眼睛，眼睛,,
MR-148,TASKA-ENZH-067,en-zh,Half-assed measures aren't gonna get us anywhere.,用温和手段没办法解决题,用温和手段没办法解决问题,,
MR-149,TASKA-ENZH-036,en-zh,"And also, my partner left because he is... he's not the father.",而且我伴侣离开了 因为他不是宝宝的父亲,而且我的伴侣离开了 因为他不是宝宝的父亲,,
MR-150,TASKA-ZHEN-061,zh-en,你这一辈子都是个怂货 这很适合你,You've been,You've been a pussy your whole life.,,
MR-151,TASKA-ZHEN-002,zh-en,别煮了... 我今次亲眼见到 ， 不会有失的 阿艾 ， 阿简在哪儿 ？,别煮了... 我今次亲眼见到 ， 不会有失的 阿艾 ， 阿简在哪儿 ？,Don't start cooking yet... saw it with my own eyes...,,
MR-152,TASKA-ZHEN-039,zh-en,"陛下,别动","Your Majesty, don't move.","Your Majesty, don't move.",,
MR-153,TASKA-ZHEN-030,zh-en,我們繞到另一邊,Let's go to the other side of the ice,Let's go to the other side of the ice.,,
MR-154,TASKA-ZHEN-060,zh-en,你不是平时偷偷吃的吗,You usually hide it in secret.,You usually hide and eat it in secret.,,
MR-155,TASKA-ZHEN-020,zh-en,检票员怎么想你的?,The conductor: What did he think of you,The conductor: What did he think of you?,,
MR-156,TASKA-ENZH-044,en-zh,"Honey, there was one time that daddy's team was losing and I was on the bench.",宝贝 曾经有一次 爸爸那队输 而我当时在坐板凳,宝贝 曾经有一次 爸爸那队输了 而我当时在坐板凳,,
MR-157,TASKA-ENZH-077,en-zh,"Boss, have you fixed everything?",老板，那些东西搞掂了没有？,老板，那些东西搞掂了没有？,,
MR-158,TASKA-ZHEN-008,zh-en,我的立场怎么争取啊？,I'm in no position to do that.,I'm in no position to do that.,,
MR-159,TASKA-ENZH-063,en-zh,"With some work I can dig that grille out of there, enlarge the hole and get into the utility corridor, that might lead to the roof.",如果我继续撬 把那铁栅,如果我继续撬 把那铁栅撬起，扩大那个洞 就能通往一条通道，进入天台,,
MR-160,TASKA-ZHEN-089,zh-en,不会就这样吧？,不会就这样吧？,This can't be it.,,
MR-161,TASKA-ZHEN-069,zh-en,亨利爵士，你真是太慷慨了,亨利爵士，你真是太慷慨了,"This is very kind of you, Sir Henry.",,
MR-162,TASKA-ENZH-096,en-zh,I tol them last night.,昨晚我就告诉他们了,昨晚我就告诉他们了,,
MR-163,TASKA-ENZH-029,en-zh,"My mother says she found my father the evening of the 9th... and called the doctor, who established his death.",我母亲说 她在9号晚上发,我母亲说 她在9号晚上发现我父亲 然后叫了医生 医生确定他死亡了,,
MR-164,TASKA-ZHEN-051,zh-en,这是我要缔结这个同盟的原因,"You see, Nepeya, just bring about this alliance.","You see, Nepeya, just why I have to bring about this alliance.",,
MR-165,TASKA-ENZH-066,en-zh,"Hey, they're giving away free money!","嘿,他","嘿,他们在发钱!",,
MR-166,TASKA-ZHEN-074,zh-en,-看起来更小是因为堆了我的东西,It just looks smaller 'cause of me stuff.,It just looks smaller 'cause of me stuff.,,
MR-167,TASKA-ENZH-033,en-zh,But I had no idea things would turn out like this!,But I had no idea things would turn out like this!,但我也没有想到 会变成今天这个样子,,
MR-168,TASKA-ZHEN-014,zh-en,然后你们想出了勒索的主意？,And you with blackmail?,And you came up with blackmail?,,
MR-169,TASKA-ZHEN-049,zh-en,你加入了社团吗？,You joined club?,You joined a club?,,
MR-170,TASKA-ZHEN-067,zh-en,你在家做什么？,What are you doin' home,What are you doin' home?,,
MR-171,TASKA-ZHEN-068,zh-en,想就好 但别试,Feel it but don't try it.,"Feel it, but don't try it.",,
MR-172,TASKA-ENZH-078,en-zh,I don't think you're gonna do it.,I don't think you're gonna do it.,我觉得你不会打的,,
MR-173,TASKA-ZHEN-010,zh-en,你们其他人能看见这个英国女人吗？,Can everyone else see the British woman?,Can everyone else see the British woman?,,
MR-174,TASKA-ENZH-005,en-zh,"- lt might be the fire, Burt.","- lt might be the fire, Burt.",- 是来灭火吧 伯特,,
MR-175,TASKA-ZHEN-055,zh-en,非常感谢你令人振奋的动员谈话,Thank you so much for that encouraging pep talk,Thank you so much for that encouraging pep talk.,,
MR-176,TASKA-ENZH-048,en-zh,It takes years. Years. Hello.,要花很多年,要花很多年的,,
MR-177,TASKA-ENZH-026,en-zh,Where did you get the grass?,什么,什么是大麻。,,
MR-178,TASKA-ZHEN-075,zh-en,我们今天要去找补给吗,We're run toay?,We're oing a run toay?,,
MR-179,TASKA-ENZH-034,en-zh,"I commanded my battle lord to deliver the helmet... to our swiftest rider, Ven Salafin.",我命令我的领主把快的骑士，文·萨拉芬。,我命令我的领主把头盔交给我们最快的骑士，文·萨拉芬。,,
MR-180,TASKA-ZHEN-078,zh-en,我需要象你这样的专家来帮助破案.,I could use the expertise of someone like yourself to help solve this case,I could use the expertise of someone like yourself to help solve this case.,,
MR-181,TASKA-ENZH-009,en-zh,"No, sir. It happened so fast.",没有，警官，生的太快了,没有，警官，一切都发生的太快了,,
MR-182,TASKA-ZHEN-027,zh-en,不对，不是这样的,不对，不是这样的,"- No, that wasn't it!",,
MR-183,TASKA-ENZH-082,en-zh,"Orobas's family power, Trauma.","欧罗巴斯家 ""幻灯(心理阴影)""","欧罗巴斯家 家系能力""幻灯(心理阴影)""",,
MR-184,TASKA-ZHEN-040,zh-en,你已经有我的号码了?,Looks like you have it already.,Looks like you have it already.,,
MR-185,TASKA-ZHEN-066,zh-en,他可能还活着。,He may still be alive.,He may still be alive.,,
MR-186,TASKA-ZHEN-090,zh-en,他们认为布雷维克先生... ...患有偏狂型精神分裂症 并已经患病多年,"They believe Mr. Breivik, who was responsible schizophrenia, and has done so for several years.","They believe Mr. Breivik, who was responsible for the attack suffers from paranoid schizophrenia, and has done so for several years.",,
MR-187,TASKA-ENZH-010,en-zh,First thing we did when the hot rays of the sun came again was to build a Shinto shrine to speed our prayers.,炎热的阳光再现的时候，我建一个神道祠来努力祈祷,炎热的阳光再现的时候，我们第一件做的事 就是搭建一个神道祠来努力祈祷,,
MR-188,TASKA-ZHEN-045,zh-en,-告诉我你搬出去了呗,-告诉我你搬出去了呗,- That you're moving out.,,
MR-189,TASKA-ENZH-079,en-zh,Come look at this.,过来,过来看看。,,
MR-190,TASKA-ZHEN-033,zh-en,但后来我有了所谓的... 顿悟,But I had what you call... an epiphany.,But I had what you call... an epiphany.,,
MR-191,TASKA-ZHEN-062,zh-en,那哥哥应该自己坐好啊,So Dong-seok should be sitting by himself!,So Dong-seok should be sitting by himself!,,
MR-192,TASKA-ENZH-024,en-zh,I've never seen him that angry before.,我第一次看到他发那么大的火,我第一次看到他发那么大的火,,
MR-193,TASKA-ZHEN-093,zh-en,有一点发烫吧，我敢打赌,有一点发烫吧，我敢打赌,Getting a little snug up there.,,
MR-194,TASKA-ZHEN-024,zh-en,海伦娜叫我来这里的 她怎么样？,Helena told me to come here. How is she?,Helena told me to come here. How is she?,,
